Place,Population,Per Capita Income,Poverty Count,Poverty Rate
"Kleberg County, Texas",30974,22646,12854,28.3%
"Knox County, Texas",3705,23146,1491,39.5%
"Lamar County, Texas",49611,25038,21502,40.7%
"Lamb County, Texas",13123,22337,5591,36.4%
"Lampasas County, Texas",20862,29412,8951,43.1%
"La Salle County, Texas",7416,21110,2684,36.5%
"Lavaca County, Texas",20021,32188,9119,43.4%
"Lee County, Texas",17058,27227,8153,41.1%
"Leon County, Texas",17225,30129,6262,44.3%
"Liberty County, Texas",83702,23461,30771,35.5%
"Limestone County, Texas",23417,22595,9101,39.9%
"Lipscomb County, Texas",3398,28131,1611,34.7%
"Live Oak County, Texas",12139,25370,4504,42.2%
"Llano County, Texas",21047,37050,7682,57.4%
"Loving County, Texas",98,33624,33,55.2%
"Lubbock County, Texas",304808,27922,149699,30.8%
"Lynn County, Texas",5830,24917,2398,37.3%
"McCulloch County, Texas",8057,24311,3702,44.6%
"McLennan County, Texas",251089,25703,114524,33.3%
"McMullen County, Texas",774,31455,310,38.2%
"Madison County, Texas",14197,20748,4882,35.2%
"Marion County, Texas",10017,27566,3715,50.6%
"Martin County, Texas",5649,30548,2483,32.7%
"Mason County, Texas",4186,30388,2026,46.3%
"Matagorda County, Texas",36774,25172,15607,38.2%
"Maverick County, Texas",58174,16779,21733,29.6%
"Medina County, Texas",50057,27475,21668,39%
"Menard County, Texas",2119,25742,1058,51.8%
"Midland County, Texas",168167,39248,85206,31.7%
"Milam County, Texas",24770,25714,9788,41.7%
"Mills County, Texas",4889,27374,1939,52.1%
"Mitchell County, Texas",8523,21136,2795,33.9%
"Montague County, Texas",19489,28096,8132,44.6%
"Montgomery County, Texas",571949,41211,272189,37.1%
"Moore County, Texas",21399,23001,9903,30.8%
"Morris County, Texas",12373,22971,4992,43%
"Motley County, Texas",1252,29071,574,41.3%
"Nacogdoches County, Texas",65339,23617,27834,30.9%
"Navarro County, Texas",48995,23786,21085,38.1%
"Newton County, Texas",13914,21659,5156,44.3%
"Nolan County, Texas",14904,25094,6279,37.5%
"Nueces County, Texas",361540,27740,165051,35.5%
"Ochiltree County, Texas",10131,23624,4645,32.3%
"Oldham County, Texas",2094,26408,941,35.9%
"Orange County, Texas",84069,30114,37674,37.9%
"Palo Pinto County, Texas",28540,25150,11763,40.6%
"Panola County, Texas",23327,26577,9547,39.2%
"Parker County, Texas",133811,35142,62395,39.7%
"Parmer County, Texas",9718,23859,4374,33.4%
"Pecos County, Texas",15815,21120,6122,35.9%
"Polk County, Texas",48913,25164,18869,43.7%
"Potter County, Texas",119674,22568,51766,33.9%
"Presidio County, Texas",6975,15337,2460,41.9%
"Rains County, Texas",11766,27938,5002,48.4%
"Randall County, Texas",134026,34293,70231,35.9%
"Reagan County, Texas",3766,25600,1669,30%
"Real County, Texas",3408,18235,1125,47.4%
"Red River County, Texas",12171,22689,5012,45.9%
"Reeves County, Texas",15492,20020,5913,35.8%
"Refugio County, Texas",7145,24248,2770,43.3%
"Roberts County, Texas",805,30955,357,43.2%
"Robertson County, Texas",16990,26033,7385,41.5%
"Rockwall County, Texas",97175,42346,48291,37.5%
"Runnels County, Texas",10277,24402,4438,40.8%
"Rusk County, Texas",53755,26658,21176,38.2%
"Sabine County, Texas",10471,24870,3122,53%
"San Augustine County, Texas",8286,23683,2799,49.3%
"San Jacinto County, Texas",28180,23312,10300,44.9%
"San Patricio County, Texas",67008,26054,28539,35.5%
"San Saba County, Texas",5991,24961,2538,42.4%
"Schleicher County, Texas",2983,26560,1327,36.2%
"Scurry County, Texas",17096,24552,6880,36.4%
"Shackelford County, Texas",3296,24852,1504,43%
"Shelby County, Texas",25349,21950,9650,38%
"Sherman County, Texas",3059,30467,1563,40.1%
"Smith County, Texas",227449,28483,101856,36.6%
"Somervell County, Texas",8860,29449,3667,41%
"Starr County, Texas",64078,14179,22056,28.8%
"Stephens County, Texas",9364,25015,3725,39.4%
"Sterling County, Texas",1231,28757,631,40.8%
"Stonewall County, Texas",1476,25638,633,47.1%
"Sutton County, Texas",3824,26904,1752,38.6%
"Swisher County, Texas",7432,19697,2783,35.9%
"Tarrant County, Texas",2049770,33292,1017012,34.4%
"Taylor County, Texas",136870,27162,63441,32.5%
"Terrell County, Texas",896,25687,357,55.2%
"Terry County, Texas",12528,20627,4849,34.6%
"Throckmorton County, Texas",1436,30463,684,52.3%
"Titus County, Texas",32640,21730,14466,34.1%
"Tom Green County, Texas",117986,29505,54481,34.1%
"Travis County, Texas",1226805,43658,688232,34.2%
"Trinity County, Texas",14620,25026,5117,48.6%
"Tyler County, Texas",21518,20249,6600,42.4%
"Upshur County, Texas",41018,25285,17221,41.4%
"Upton County, Texas",3659,25447,1428,39.6%
"Uvalde County, Texas",26920,20329,11188,33.7%
"Val Verde County, Texas",48969,21370,19297,31.8%
"Van Zandt County, Texas",55103,27900,22235,42.8%
"Victoria County, Texas",92109,29199,42129,35.9%
"Walker County, Texas",72321,18544,26268,35.3%
"Waller County, Texas",51832,25401,23441,28.9%
"Ward County, Texas",11658,25931,4946,33.9%
"Washington County, Texas",35163,32625,15501,41.5%
"Webb County, Texas",273526,18466,109409,28.8%
"Wharton County, Texas",41577,25298,18127,37.3%
"Wheeler County, Texas",5338,27093,2482,39.6%
"Wichita County, Texas",131596,24872,55764,34.5%
"Wilbarger County, Texas",12833,23696,6153,39.4%
"Willacy County, Texas",21588,14888,7639,33%
"Williamson County, Texas",547604,37242,279178,36.3%
"Wilson County, Texas",49173,32312,21799,40.2%
"Winkler County, Texas",7867,24467,3346,33.1%
"Wise County, Texas",66290,29418,30152,38.3%
"Wood County, Texas",44366,29005,16364,47.9%
"Yoakum County, Texas",8631,24582,3617,30.3%
"Young County, Texas",18036,27423,8038,41.1%
"Zapata County, Texas",14304,20169,5220,29.5%
"Zavala County, Texas",12039,13835,4285,32.9%
"Beaver County, Utah",6517,23382,2714,33%
"Box Elder County, Utah",53946,24797,23918,32.6%
"Cache County, Utah",124165,23713,60820,25.2%
"Carbon County, Utah",20308,23862,8679,37.5%
"Daggett County, Utah",613,29574,307,42.5%
"Davis County, Utah",345767,31205,164139,31.1%
"Duchesne County, Utah",20148,24573,8129,31.5%
"Emery County, Utah",10117,23705,4040,36.2%
"Garfield County, Utah",4998,25247,2184,41.9%
"Grand County, Utah",9640,27431,5208,40.2%
"Iron County, Utah",51213,22909,22635,29.1%
"Juab County, Utah",11301,22830,5044,30.1%
"Kane County, Utah",7484,26070,3275,41.9%
"Millard County, Utah",12854,25225,5449,35.4%
"Morgan County, Utah",11664,31732,4822,32.2%
"Piute County, Utah",1866,19012,611,44.5%
"Rich County, Utah",2389,23464,754,34.3%
"Salt Lake County, Utah",1133646,33238,590125,32.8%
"San Juan County, Utah",15302,18987,5694,32.2%
"Sanpete County, Utah",29850,20056,11855,32.6%
"Sevier County, Utah",21280,23514,9059,35.4%
"Summit County, Utah",41103,56575,22839,39.5%
"Tooele County, Utah",67397,25949,31073,31.4%
"Uintah County, Utah",36084,25759,14911,30.6%
"Utah County, Utah",605490,26215,280920,24.8%
"Wasatch County, Utah",31708,35641,15771,34%
"Washington County, Utah",165811,29010,68915,37.1%
"Wayne County, Utah",2689,22038,1174,40.4%
"Weber County, Utah",251498,27828,122290,32.7%
"Addison County, Vermont",36882,34741,20170,43.5%
"Bennington County, Vermont",35746,33789,17366,46.7%
"Caledonia County, Vermont",30234,29769,14815,44.7%
"Chittenden County, Vermont",162646,39062,92058,36.5%
"Essex County, Vermont",6200,25376,2798,50.9%
"Franklin County, Vermont",49116,31195,25562,40.4%
"Grand Isle County, Vermont",7022,39770,3664,48.2%
"Lamoille County, Vermont",25318,36747,13821,40.8%
"Orange County, Vermont",28908,31697,15483,46.6%
"Orleans County, Vermont",26901,27023,12629,45.8%
"Rutland County, Vermont",58892,31391,29858,46.5%
"Washington County, Vermont",58350,35236,31131,43.7%
"Windham County, Vermont",42823,32535,21840,47.6%
"Windsor County, Vermont",55275,36252,27833,48%
"Accomack County, Virginia",32673,26018,13681,45.9%
"Albemarle County, Virginia",107405,44799,52965,39.1%
"Alleghany County, Virginia",15157,27338,5865,48.1%
"Amelia County, Virginia",12953,31688,6362,45.1%
"Amherst County, Virginia",31775,26712,14485,44.8%
"Appomattox County, Virginia",15707,28586,7230,42.6%
"Arlington County, Virginia",233464,71841,146900,34.7%
"Augusta County, Virginia",75079,30272,35140,45.1%
"Bath County, Virginia",4307,27527,1955,47.8%
"Bedford County, Virginia",78376,33678,36986,46.3%
"Bland County, Virginia",6388,22522,2305,46.4%
"Botetourt County, Virginia",33343,35893,16083,47.2%
"Brunswick County, Virginia",16520,21732,6025,43.3%
"Buchanan County, Virginia",21788,19496,6405,46.8%
"Buckingham County, Virginia",17059,20605,6692,43.5%
"Campbell County, Virginia",55225,27739,26429,43%
"Caroline County, Virginia",30381,31568,13834,40.1%
"Carroll County, Virginia",29801,25449,12997,47.6%
"Charles City County, Virginia",7014,35304,3359,50.8%
"Charlotte County, Virginia",12040,22018,5048,46.2%
"Chesterfield County, Virginia",343551,37658,175948,38.9%
"Clarke County, Virginia",14423,41332,7193,47%
"Craig County, Virginia",5110,30103,2415,46.3%
"Culpeper County, Virginia",51101,32028,24567,39.2%
"Cumberland County, Virginia",9824,25138,4878,45.6%
"Dickenson County, Virginia",14756,24978,4352,44.7%
"Dinwiddie County, Virginia",28485,28922,13745,43.2%
"Essex County, Virginia",10998,26847,5121,46.3%
"Fairfax County, Virginia",1145862,56231,613908,38%
"Fauquier County, Virginia",69728,45408,36040,41.3%
"Floyd County, Virginia",15704,26882,7317,47.2%
"Fluvanna County, Virginia",26594,39633,12651,43.4%
"Franklin County, Virginia",56187,30487,24928,47.2%
"Frederick County, Virginia",86415,35123,43083,40.7%
"Giles County, Virginia",16772,27137,7483,44.7%
"Gloucester County, Virginia",37222,33692,17786,44.9%
"Goochland County, Virginia",22865,51720,11064,48.3%
"Grayson County, Virginia",15742,21663,6444,48.1%
"Greene County, Virginia",19519,32508,10035,39.6%
"Greensville County, Virginia",11525,19550,3899,40.7%
"Halifax County, Virginia",34552,23909,14561,46.5%
"Hanover County, Virginia",105537,41200,55625,42.7%
"Henrico County, Virginia",327535,39516,173089,38.8%
"Henry County, Virginia",51308,22372,19967,47.6%
"Highland County, Virginia",2204,31485,874,60.9%
"Isle of Wight County, Virginia",36627,37126,17799,44.3%
"James City County, Virginia",74916,44495,33950,46.5%
"King and Queen County, Virginia",7042,31174,3220,46.7%
"King George County, Virginia",26229,38739,13065,37.4%
"King William County, Virginia",16688,30704,8277,40.3%
"Lancaster County, Virginia",10724,40062,4267,57.3%
"Lee County, Virginia",23948,19720,7860,44.9%
"Loudoun County, Virginia",395134,55744,214991,36.2%
"Louisa County, Virginia",36040,34041,16553,44.8%
"Lunenburg County, Virginia",12282,19848,4632,45.3%
"Madison County, Virginia",13170,30777,6204,45.6%
"Mathews County, Virginia",8788,35731,3581,54.5%
"Mecklenburg County, Virginia",30728,25056,12145,48.4%
"Middlesex County, Virginia",10675,31502,4394,53.9%
"Montgomery County, Virginia",98140,30054,45828,29%
"Nelson County, Virginia",14831,35489,6898,51.4%
"New Kent County, Virginia",21686,38080,10933,43.3%
"Northampton County, Virginia",11885,28518,4891,49%
"Northumberland County, Virginia",12190,36261,4781,58.9%
"Nottoway County, Virginia",15433,24571,5783,40.6%
"Orange County, Virginia",36010,32292,17007,42%
"Page County, Virginia",23788,25170,10882,45.4%
"Patrick County, Virginia",17748,24292,7438,49.9%
"Pittsylvania County, Virginia",61256,26032,27414,47.2%
"Powhatan County, Virginia",28815,37424,13311,45.1%
"Prince Edward County, Virginia",22905,21017,8687,31.5%
"Prince George County, Virginia",38114,29420,15152,37%
"Prince William County, Virginia",461423,40932,237220,35.2%
"Pulaski County, Virginia",34182,28125,15539,47%
"Rappahannock County, Virginia",7378,41792,3602,50.1%
"Richmond County, Virginia",8884,22853,3285,47.3%
"Roanoke County, Virginia",93823,36469,45744,43.8%
"Rockbridge County, Virginia",22570,31539,9926,49%
"Rockingham County, Virginia",80284,31275,39423,41.5%
"Russell County, Virginia",27141,21605,9296,45.7%
"Scott County, Virginia",21902,22898,8342,47.3%
"Shenandoah County, Virginia",43224,28882,20580,44.5%
"Smyth County, Virginia",30767,21605,12487,45%
"Southampton County, Virginia",17880,26600,7617,46.9%
"Spotsylvania County, Virginia",132833,37212,66122,38.2%
"Stafford County, Virginia",146773,42126,72033,35.5%
"Surry County, Virginia",6523,30260,3151,49.8%
"Sussex County, Virginia",11377,21652,4151,41%
"Tazewell County, Virginia",41603,23738,15160,45.2%
"Warren County, Virginia",39492,32086,19513,41.3%
"Washington County, Virginia",54071,27524,23678,46.3%
"Westmoreland County, Virginia",17751,32996,7677,48.6%
"Wise County, Virginia",38486,21500,12942,41.4%
"Wythe County, Virginia",28844,27381,13340,45.3%
"York County, Virginia",67982,41201,30556,39.6%
"Alexandria city, Virginia",157613,62679,96960,36.8%
"Bristol city, Virginia",16912,23015,6966,42.2%
"Buena Vista city, Virginia",6484,21419,2819,35.5%
"Charlottesville city, Virginia",47096,38328,24865,31.6%
"Chesapeake city, Virginia",239982,35536,111227,36.9%
"Colonial Heights city, Virginia",17428,28364,7768,40.6%
"Covington city, Virginia",5598,25309,2554,42.4%
"Danville city, Virginia",41070,22826,16463,40.9%
"Emporia city, Virginia",5442,18494,1895,35.4%
"Fairfax city, Virginia",23531,50029,12705,38.2%
"Falls Church city, Virginia",14128,72325,7883,38.7%
"Franklin city, Virginia",8147,24025,3460,39.4%
"Fredericksburg city, Virginia",28622,35731,15717,30.4%
"Galax city, Virginia",6517,23025,2631,45%
"Hampton city, Virginia",135041,30135,61782,36.2%
"Harrisonburg city, Virginia",53273,23202,25772,25.4%
"Hopewell city, Virginia",22456,21927,9515,36.2%
"Lexington city, Virginia",7241,19047,2520,22.3%
"Lynchburg city, Virginia",80569,23863,36762,28.3%
"Manassas city, Virginia",41174,33082,21799,34.2%
"Manassas Park city, Virginia",16986,34326,9340,34.7%
"Martinsville city, Virginia",12852,22836,5144,40.9%
"Newport News city, Virginia",179673,28294,81407,33.5%
"Norfolk city, Virginia",244601,29830,104945,30.7%
"Norton city, Virginia",3970,21741,1607,37.5%
"Petersburg city, Virginia",31362,23611,13140,38.1%
"Poquoson city, Virginia",12090,40258,5757,42.4%
"Portsmouth city, Virginia",95097,26312,41396,35.3%
"Radford city, Virginia",17691,21797,8288,23.4%
"Richmond city, Virginia",226622,33549,116615,34%
"Roanoke city, Virginia",99229,27006,47605,38.5%
"Salem city, Virginia",25317,31924,12277,41.2%
"Staunton city, Virginia",24432,30166,12102,42.8%
"Suffolk city, Virginia",90093,34940,42459,38%
"Virginia Beach city, Virginia",450201,37776,221998,36.2%
"Waynesboro city, Virginia",22140,27033,10362,39.2%
"Williamsburg city, Virginia",14927,29758,6394,24.9%
"Winchester city, Virginia",27897,30859,14073,38.1%
"Adams County, Washington",19594,20248,7719,27.9%
"Asotin County, Washington",22421,29695,9708,45%
"Benton County, Washington",197518,32882,88737,35.8%
"Chelan County, Washington",76229,30870,35694,40.1%
"Clallam County, Washington",75392,30283,28673,50.8%
"Clark County, Washington",473252,35860,227108,38.4%
"Columbia County, Washington",3992,36551,1737,50.2%
"Cowlitz County, Washington",106778,28876,44679,41.3%
"Douglas County, Washington",42023,30544,19378,37.1%
"Ferry County, Washington",7578,25857,2599,50.3%
"Franklin County, Washington",92009,24380,40135,30.3%
"Garfield County, Washington",2230,26742,889,46.1%
"Grant County, Washington",95502,24280,40662,32.9%
"Grays Harbor County, Washington",72779,27210,28323,44%
"Island County, Washington",82866,37087,32421,44.2%
"Jefferson County, Washington",31285,36598,11607,58.3%
"King County, Washington",2195502,52462,1206334,37%
"Kitsap County, Washington",265882,37493,115237,39.1%
"Kittitas County, Washington",45897,29161,22372,33.8%
"Klickitat County, Washington",21721,29521,8561,46.9%
"Lewis County, Washington",78145,27127,31386,43.1%
"Lincoln County, Washington",10574,28891,4206,48.4%
"Mason County, Washington",63804,28862,24994,45.6%
"Okanogan County, Washington",41842,24876,17334,42.6%
"Pacific County, Washington",21688,26109,7421,53.6%
"Pend Oreille County, Washington",13377,28046,4743,51%
"Pierce County, Washington",877013,34618,409724,36.1%
"San Juan County, Washington",16788,45777,7765,56.6%
"Skagit County, Washington",125612,33168,56470,41.5%
"Skamania County, Washington",11753,32221,5366,46.6%
"Snohomish County, Washington",798808,39527,409889,38%
"Spokane County, Washington",505505,31146,232708,37.6%
"Stevens County, Washington",44655,26896,16739,46.9%
"Thurston County, Washington",279711,35169,128801,39%
"Wahkiakum County, Washington",4268,31110,1313,55.1%
"Walla Walla County, Washington",60365,29035,26646,37.5%
"Whatcom County, Washington",220821,32267,107180,37.3%
"Whitman County, Washington",49231,23560,23003,24.7%
"Yakima County, Washington",249697,23459,106018,33%
"Barbour County, West Virginia",16633,22899,6631,41.7%
"Berkeley County, West Virginia",115329,29994,55876,38.8%
"Boone County, West Virginia",22368,21751,6527,43.5%
"Braxton County, West Virginia",14190,22269,5221,45.9%
"Brooke County, West Virginia",22459,26678,10066,46.6%
"Cabell County, West Virginia",94339,25271,38148,38.8%
"Calhoun County, West Virginia",7295,20447,2115,48.1%
"Clay County, West Virginia",8709,17239,2559,44.1%
"Doddridge County, West Virginia",8560,24053,3072,45.3%
"Fayette County, West Virginia",43576,21914,15411,44.3%
"Gilmer County, West Virginia",8041,18067,2704,39.2%
"Grant County, West Virginia",11616,23351,4939,46.2%
"Greenbrier County, West Virginia",35155,24581,13906,45.5%
"Hampshire County, West Virginia",23309,24259,9327,47.2%
"Hancock County, West Virginia",29383,26435,13142,46.8%
"Hardy County, West Virginia",13805,27004,6367,45.7%
"Harrison County, West Virginia",67908,28879,30358,42.2%
"Jackson County, West Virginia",28907,25341,11092,43.7%
"Jefferson County, West Virginia",56506,36305,27683,41.1%
"Kanawha County, West Virginia",183279,29253,78433,43.4%
"Lewis County, West Virginia",16166,23820,6178,43.8%
"Lincoln County, West Virginia",20850,21456,7145,43.2%
"Logan County, West Virginia",33154,21936,9827,43.8%
"McDowell County, West Virginia",18661,15047,3782,45%
"Marion County, West Virginia",56355,26380,24737,41.1%
"Marshall County, West Virginia",31308,26472,12758,45.7%
"Mason County, West Virginia",26820,24844,10057,44.2%
"Mercer County, West Virginia",59919,22212,22130,43.1%
"Mineral County, West Virginia",27167,25490,11596,44.5%
"Mingo County, West Virginia",24290,20060,7100,42.8%
"Monongalia County, West Virginia",105474,32154,51107,31.7%
"Monroe County, West Virginia",13401,23923,5062,48%
"Morgan County, West Virginia",17709,28127,7914,47.9%
"Nicholas County, West Virginia",25078,22335,9550,45.1%
"Ohio County, West Virginia",42143,32429,19424,43.6%
"Pendleton County, West Virginia",7001,25059,2942,50.8%
"Pleasants County, West Virginia",7482,29974,3003,43.6%
"Pocahontas County, West Virginia",8450,25201,3355,49.1%
"Preston County, West Virginia",33683,24890,13301,42.7%
"Putnam County, West Virginia",56610,31587,25385,41.8%
"Raleigh County, West Virginia",75252,25026,28557,42.2%
"Randolph County, West Virginia",28930,24842,11292,43.7%
"Ritchie County, West Virginia",9844,25606,3541,46.8%
"Roane County, West Virginia",14020,21711,4584,45.8%
"Summers County, West Virginia",12848,21437,4279,49.1%
"Taylor County, West Virginia",16864,25214,6718,44.1%
"Tucker County, West Virginia",6982,25686,3064,49.3%
"Tyler County, West Virginia",8811,24924,3127,47%
"Upshur County, West Virginia",24502,24070,9959,41.7%
"Wayne County, West Virginia",40303,21553,13322,44.1%
"Webster County, West Virginia",8386,22054,2943,47.2%
"Wetzel County, West Virginia",15436,22546,5518,46%
"Wirt County, West Virginia",5798,23568,2228,45.4%
"Wood County, West Virginia",84960,27725,35794,43.5%
"Wyoming County, West Virginia",21281,22703,6054,44.6%
"Adams County, Wisconsin",20094,27241,7772,53.8%
"Ashland County, Wisconsin",15617,23946,7242,42%
"Barron County, Wisconsin",45229,29681,22117,44.2%
"Bayfield County, Wisconsin",14993,31825,7015,52.2%
"Brown County, Wisconsin",261368,32874,139043,37.4%
"Buffalo County, Wisconsin",13126,30503,6841,46.6%
"Burnett County, Wisconsin",15289,30342,6708,52.8%
"Calumet County, Wisconsin",49928,35527,27630,40.6%
"Chippewa County, Wisconsin",63892,29991,31847,41.2%
"Clark County, Wisconsin",34579,25382,16043,37.4%
"Columbia County, Wisconsin",57133,34984,30469,42.4%
"Crawford County, Wisconsin",16235,27615,7412,46.3%
"Dane County, Wisconsin",536078,40614,308106,35.1%
"Dodge County, Wisconsin",87715,29726,45274,42.5%
"Door County, Wisconsin",27472,38744,13759,53%
"Douglas County, Wisconsin",43295,30153,21918,42.2%
"Dunn County, Wisconsin",44759,28034,23564,34.7%
"Eau Claire County, Wisconsin",103514,30983,56366,34.5%
"Florence County, Wisconsin",4314,32348,1931,53.6%
"Fond du Lac County, Wisconsin",102597,31653,53973,41.6%
"Forest County, Wisconsin",8995,25700,3701,46.7%
"Grant County, Wisconsin",51733,25892,26132,36%
"Green County, Wisconsin",36896,33459,20448,43.2%
"Green Lake County, Wisconsin",18755,29207,8975,45.3%
"Iowa County, Wisconsin",23618,34114,12594,42.8%
"Iron County, Wisconsin",5687,28857,2511,54.9%
"Jackson County, Wisconsin",20522,26481,9386,41.7%
"Jefferson County, Wisconsin",84701,31992,46211,41.1%
"Juneau County, Wisconsin",26478,27889,12181,45.4%
"Kenosha County, Wisconsin",168524,32298,85094,38.5%
"Kewaunee County, Wisconsin",20387,30921,10699,44.3%
"La Crosse County, Wisconsin",117894,32565,62533,35.9%
"Lafayette County, Wisconsin",16715,28448,8565,41.8%
"Langlade County, Wisconsin",19146,27618,8779,48.7%
"Lincoln County, Wisconsin",27744,30972,14131,47.7%
"Manitowoc County, Wisconsin",79185,30130,40604,44.9%
"Marathon County, Wisconsin",135396,33189,71727,40.7%
"Marinette County, Wisconsin",40391,28282,18689,48.7%
"Marquette County, Wisconsin",15304,27922,6967,50%
"Menominee County, Wisconsin",4558,20313,1518,32%
"Milwaukee County, Wisconsin",951226,29270,459843,34.9%
"Monroe County, Wisconsin",45771,29242,21703,39.9%
"Oconto County, Wisconsin",37646,30927,19070,46.9%
"Oneida County, Wisconsin",35381,34910,16612,51.3%
"Outagamie County, Wisconsin",185700,33221,100360,38.3%
"Ozaukee County, Wisconsin",88597,49030,47213,44%
"Pepin County, Wisconsin",7265,30827,3710,46.4%
"Pierce County, Wisconsin",41977,33061,23433,36.8%
"Polk County, Wisconsin",43438,30859,21516,45.6%
"Portage County, Wisconsin",70632,31453,37794,37%
"Price County, Wisconsin",13416,28882,6438,51.6%
"Racine County, Wisconsin",195602,31572,94772,40.2%
"Richland County, Wisconsin",17459,27597,8295,45.3%
"Rock County, Wisconsin",162152,28945,79931,39.5%
"Rusk County, Wisconsin",14132,25854,6441,49%
"St. Croix County, Wisconsin",88732,39287,48941,38.9%
"Sauk County, Wisconsin",63922,30990,34130,41.1%
"Sawyer County, Wisconsin",16399,31772,7380,50.3%
"Shawano County, Wisconsin",40904,29338,20016,45.2%
"Sheboygan County, Wisconsin",115178,31510,59602,41.5%
"Taylor County, Wisconsin",20325,27506,10262,43.7%
"Trempealeau County, Wisconsin",29499,28902,15036,40.5%
"Vernon County, Wisconsin",30633,26198,13687,41.7%
"Vilas County, Wisconsin",21751,33316,9363,54.6%
"Walworth County, Wisconsin",103074,32302,53782,40%
"Washburn County, Wisconsin",15688,29584,7023,51.2%
"Washington County, Wisconsin",134925,39055,73819,43.2%
"Waukesha County, Wisconsin",400475,46073,214839,43.2%
"Waupaca County, Wisconsin",51245,32000,26301,45.5%
"Waushara County, Wisconsin",24193,28580,10617,49.2%
"Winnebago County, Wisconsin",170411,32571,87992,38.3%
"Wood County, Wisconsin",73112,31425,35963,44.1%
"Albany County, Wyoming",38390,29146,21328,27.6%
"Big Horn County, Wyoming",11882,24693,5081,41.6%
"Campbell County, Wyoming",47409,34776,24571,34%
"Carbon County, Wyoming",15247,29552,7286,38.6%
"Converse County, Wyoming",13921,33693,6643,40%
"Crook County, Wyoming",7472,29532,3455,42.7%
"Fremont County, Wyoming",39812,28324,18294,38.7%
"Goshen County, Wyoming",13342,28554,6014,44.1%
"Hot Springs County, Wyoming",4607,30643,2217,46.6%
"Johnson County, Wyoming",8487,36084,4220,45.4%
"Laramie County, Wyoming",98320,35190,47158,37%
"Lincoln County, Wyoming",19274,29747,9189,39.7%
"Natrona County, Wyoming",80333,33797,41101,36.9%
"Niobrara County, Wyoming",2422,22958,924,45.5%
"Park County, Wyoming",29148,35147,13922,44.5%
"Platte County, Wyoming",8582,35312,4464,49.2%
"Sheridan County, Wyoming",30140,35254,15193,42.3%
"Sublette County, Wyoming",9880,35874,5234,39.4%
"Sweetwater County, Wyoming",43521,32603,21487,35.3%
"Teton County, Wyoming",23280,54051,14430,39.3%
"Uinta County, Wyoming",20479,28159,9294,35.8%
"Washakie County, Wyoming",8027,28101,3777,42.9%
"Weston County, Wyoming",7049,28531,3221,43.1%
"Adjuntas Municipio, Puerto Rico",17891,7595,3856,42.1%
"Aguada Municipio, Puerto Rico",37954,9692,11250,42.9%
"Aguadilla Municipio, Puerto Rico",52803,11298,13746,42%
"Aguas Buenas Municipio, Puerto Rico",25748,11097,7936,42.2%
"Aibonito Municipio, Puerto Rico",22988,11363,6970,42.5%
"Añasco Municipio, Puerto Rico",26934,10603,8429,42.6%
"Arecibo Municipio, Puerto Rico",85390,10596,23050,42.8%
"Arroyo Municipio, Puerto Rico",17805,8611,3527,40.3%
"Barceloneta Municipio, Puerto Rico",24079,9847,6495,40.6%
"Barranquitas Municipio, Puerto Rico",28393,8537,6938,36.7%
"Bayamón Municipio, Puerto Rico",178192,14782,65080,42.1%
"Cabo Rojo Municipio, Puerto Rico",48487,9903,12677,44.1%
"Caguas Municipio, Puerto Rico",128937,15244,46005,41.3%
"Camuy Municipio, Puerto Rico",31598,10709,8762,42.2%
"Canóvanas Municipio, Puerto Rico",45588,12924,14554,40.2%
"Carolina Municipio, Puerto Rico",153779,16846,58500,42.8%
"Cataño Municipio, Puerto Rico",24271,12796,7628,40.3%
"Cayey Municipio, Puerto Rico",43785,12819,13328,42.8%
"Ceiba Municipio, Puerto Rico",11515,11204,3459,42.9%
"Ciales Municipio, Puerto Rico",16513,9106,3701,42.3%
"Cidra Municipio, Puerto Rico",39607,10980,11953,40.9%
"Coamo Municipio, Puerto Rico",38906,11063,11577,41.7%
"Comerío Municipio, Puerto Rico",19224,7352,4877,38.9%
"Corozal Municipio, Puerto Rico",33500,8124,7933,39.6%
"Culebra Municipio, Puerto Rico",1311,15027,591,43.1%
"Dorado Municipio, Puerto Rico",36803,16876,12024,41.1%
"Fajardo Municipio, Puerto Rico",31111,12846,10052,41.8%
"Florida Municipio, Puerto Rico",11697,9250,3465,39.9%
"Guánica Municipio, Puerto Rico",16293,7293,3272,42.5%
"Guayama Municipio, Puerto Rico",40889,10387,9851,39.1%
"Guayanilla Municipio, Puerto Rico",18514,9136,4762,41.3%
"Guaynabo Municipio, Puerto Rico",86937,24887,35336,44.2%
"Gurabo Municipio, Puerto Rico",46910,18518,18043,39%
"Hatillo Municipio, Puerto Rico",39950,11144,12538,42.1%
"Hormigueros Municipio, Puerto Rico",15943,12479,4909,47.2%
"Humacao Municipio, Puerto Rico",52507,13043,15158,43.3%
"Isabela Municipio, Puerto Rico",41707,9002,10584,42.2%
"Jayuya Municipio, Puerto Rico",14539,7308,3219,38.6%
"Juana Díaz Municipio, Puerto Rico",46152,10550,14463,38.8%
"Juncos Municipio, Puerto Rico",38780,10222,11980,38.6%
"Lajas Municipio, Puerto Rico",22835,7432,4873,45%
"Lares Municipio, Puerto Rico",25696,9091,6608,43%
"Las Marías Municipio, Puerto Rico",8370,7585,2170,42.4%
